ID,materialCode,materialDescription
1,10000001,Ball Bearing 6205-2RS
2,10000002,Hydraulic Oil ISO VG46 - Anubhav Trainings Grade A - 20L
3,10000003,V-Belt A-42
4,10000004,Mechanical Seal Kit
5,10000005,Air Filter Cartridge - Anubhav Trainings Approved
6,10000006,Grease Cartridge NLGI-2
7,10000007,Gasket Set - Flange DN50
8,10000008,Motor Winding Insulation Kit
9,10000009,Coupling Rubber Insert
10,10000010,Pressure Gauge 0-16 bar
11,10000011,Thermocouple Type K
12,10000012,Control Relay 24V DC
13,10000013,Contactor 40A - Anubhav Trainings Certified
14,10000014,Wire Rope 12mm
15,10000015,Hydraulic Hose Assembly
16,10000016,Fan Belt B-52
17,10000017,Water Pump Impeller
18,10000018,Oil Filter Element
19,10000019,Safety Valve DN25
20,10000020,Anubhav Trainings Universal Lubricant Spray 500ml
