ID,number,description,status,scheduledStartDate,scheduledEndDate,assignedWorkCenter
1,4500001235,Preventive Maintenance - Centrifugal Water Pump,CRTD,2026-06-01T08:00:00.000Z,2026-06-01T13:00:00.000Z,MECH-01
2,4500001236,Breakdown Repair - Conveyor Belt Line 2,REL,2026-06-02T04:00:00.000Z,2026-06-02T06:00:00.000Z,MECH-02
3,4500001237,Annual Inspection - Cooling Tower Unit 3,INPR,2026-06-03T00:00:00.000Z,2026-06-03T05:00:00.000Z,ELEC-01
4,4500001238,Scheduled Service - Diesel Generator Set,TECO,2026-06-03T20:00:00.000Z,2026-06-03T22:00:00.000Z,ELEC-02
5,4500001239,Emergency Repair - Rooftop HVAC Unit,CLSD,2026-06-04T16:00:00.000Z,2026-06-04T21:00:00.000Z,HVAC-01
6,4500001240,Condition-Based Maintenance - Air Compressor Unit 1,CRTD,2026-06-05T12:00:00.000Z,2026-06-05T14:00:00.000Z,INST-01
7,4500001241,Corrective Maintenance - Steam Boiler Unit 2,REL,2026-06-06T08:00:00.000Z,2026-06-06T13:00:00.000Z,CIVIL-01
8,4500001242,Preventive Maintenance - Overhead Gantry Crane (Anubhav Trainings Demo),INPR,2026-06-07T04:00:00.000Z,2026-06-07T06:00:00.000Z,MECH-01
9,4500001243,Breakdown Repair - Electric Forklift 12,TECO,2026-06-08T00:00:00.000Z,2026-06-08T05:00:00.000Z,MECH-02
10,4500001244,Annual Inspection - Chiller Unit 4,CLSD,2026-06-08T20:00:00.000Z,2026-06-08T22:00:00.000Z,ELEC-01
11,4500001245,Scheduled Service - Power Transformer T2,CRTD,2026-06-09T16:00:00.000Z,2026-06-09T21:00:00.000Z,ELEC-02
12,4500001246,Emergency Repair - Control Valve Station,REL,2026-06-10T12:00:00.000Z,2026-06-10T14:00:00.000Z,HVAC-01
13,4500001247,Condition-Based Maintenance - Induction Motor 75kW,INPR,2026-06-11T08:00:00.000Z,2026-06-11T13:00:00.000Z,INST-01
14,4500001248,Corrective Maintenance - Booster Pump Station,TECO,2026-06-12T04:00:00.000Z,2026-06-12T06:00:00.000Z,CIVIL-01
15,4500001249,Preventive Maintenance - Conveyor Belt Line 5,CLSD,2026-06-13T00:00:00.000Z,2026-06-13T05:00:00.000Z,MECH-01
16,4500001250,Breakdown Repair - Air Handling Unit 2 (Anubhav Trainings Demo),CRTD,2026-06-13T20:00:00.000Z,2026-06-13T22:00:00.000Z,MECH-02
17,4500001251,Annual Inspection - Standby Generator 2,REL,2026-06-14T16:00:00.000Z,2026-06-14T21:00:00.000Z,ELEC-01
18,4500001252,Scheduled Service - Fire Hydrant Pump,INPR,2026-06-15T12:00:00.000Z,2026-06-15T14:00:00.000Z,ELEC-02
19,4500001253,Emergency Repair - Goods Elevator 1,TECO,2026-06-16T08:00:00.000Z,2026-06-16T13:00:00.000Z,HVAC-01
20,4500001254,Condition-Based Maintenance - Cooling Tower Unit 4,CLSD,2026-06-17T04:00:00.000Z,2026-06-17T06:00:00.000Z,INST-01
21,4500001255,Corrective Maintenance - Centrifugal Water Pump,CRTD,2026-06-18T00:00:00.000Z,2026-06-18T05:00:00.000Z,CIVIL-01
22,4500001256,Preventive Maintenance - Conveyor Belt Line 2,REL,2026-06-18T20:00:00.000Z,2026-06-18T22:00:00.000Z,MECH-01
23,4500001257,Breakdown Repair - Cooling Tower Unit 3,INPR,2026-06-19T16:00:00.000Z,2026-06-19T21:00:00.000Z,MECH-02
24,4500001258,Annual Inspection - Diesel Generator Set (Anubhav Trainings Demo),TECO,2026-06-20T12:00:00.000Z,2026-06-20T14:00:00.000Z,ELEC-01
25,4500001259,Scheduled Service - Rooftop HVAC Unit,CLSD,2026-06-21T08:00:00.000Z,2026-06-21T13:00:00.000Z,ELEC-02
26,4500001260,Emergency Repair - Air Compressor Unit 1,CRTD,2026-06-22T04:00:00.000Z,2026-06-22T06:00:00.000Z,HVAC-01
27,4500001261,Condition-Based Maintenance - Steam Boiler Unit 2,REL,2026-06-23T00:00:00.000Z,2026-06-23T05:00:00.000Z,INST-01
28,4500001262,Corrective Maintenance - Overhead Gantry Crane,INPR,2026-06-23T20:00:00.000Z,2026-06-23T22:00:00.000Z,CIVIL-01
29,4500001263,Preventive Maintenance - Electric Forklift 12,TECO,2026-06-24T16:00:00.000Z,2026-06-24T21:00:00.000Z,MECH-01
30,4500001264,Breakdown Repair - Chiller Unit 4,CLSD,2026-06-25T12:00:00.000Z,2026-06-25T14:00:00.000Z,MECH-02
31,4500001265,Annual Inspection - Power Transformer T2,CRTD,2026-06-26T08:00:00.000Z,2026-06-26T13:00:00.000Z,ELEC-01
32,4500001266,Scheduled Service - Control Valve Station (Anubhav Trainings Demo),REL,2026-06-27T04:00:00.000Z,2026-06-27T06:00:00.000Z,ELEC-02
33,4500001267,Emergency Repair - Induction Motor 75kW,INPR,2026-06-28T00:00:00.000Z,2026-06-28T05:00:00.000Z,HVAC-01
34,4500001268,Condition-Based Maintenance - Booster Pump Station,TECO,2026-06-28T20:00:00.000Z,2026-06-28T22:00:00.000Z,INST-01
